ts,batch,event,file,rows_before,rows_after,detail
2026-03-29 19:57:39,GEN,SEASON_2425_GENERATED,season_2024_25.json,,10515,
2026-03-29 20:01:57,GEN,SEASON_2526_GENERATED,season_2025_26.json,,15911,
2026-03-29 20:02:14,B0,BATCH_START,,,,
2026-03-29 20:02:23,B0,BOXSCORES_FETCHED,,,,129 rows for 2026-03-28
2026-03-29 20:02:29,B0,BATCH_SUMMARY,,,,"plays_graded=58, wins=34, losses=24, dnp=12"
2026-03-29 20:02:30,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,23796,,
2026-03-29 20:02:45,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV9.2/source-files/nba_gamelogs_2025_26.csv,23796,23925,APPEND_GAMELOGS
2026-03-29 20:02:45,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-03-29 20:04:42,B0,BATCH_COMPLETE,,,,
2026-03-29 20:06:27,B2,BATCH_START,,,,2026-03-29
2026-03-29 20:06:33,B2,PROPS_FETCHED,,,,"109 props, 9 games"
2026-03-29 20:06:47,B2,PREDICTIONS,,,,"107 plays, skipped 2"
2026-03-29 20:06:47,B2,BATCH_SUMMARY,,,,"props_fetched=107, plays_added=107"
2026-03-29 20:06:47,B2,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV9.2/data/today.json,0,107,SAVE_TODAY
2026-03-29 20:06:49,B2,BATCH_COMPLETE,,,,
2026-03-30 06:00:01,B0,BATCH_START,,,,
2026-03-30 06:00:14,B0,BOXSCORES_FETCHED,,,,205 rows for 2026-03-29
2026-03-30 06:00:15,B0,BATCH_SUMMARY,,,,"plays_graded=100, wins=52, losses=48, dnp=7"
2026-03-30 06:00:17,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,23925,,
2026-03-30 06:00:39,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV9.2/source-files/nba_gamelogs_2025_26.csv,23925,24137,APPEND_GAMELOGS
2026-03-30 06:00:39,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-03-30 06:02:46,B0,BATCH_COMPLETE,,,,
2026-03-30 08:00:01,B1,BATCH_START,,,,2026-03-30
2026-03-30 08:00:11,B1,PROPS_FETCHED,,,,"103 props, 8 games"
2026-03-30 08:00:25,B1,PREDICTIONS,,,,"101 plays, skipped 2"
2026-03-30 08:00:25,B1,BATCH_SUMMARY,,,,"props_fetched=101, plays_added=101"
2026-03-30 08:00:25,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV9.2/data/today.json,107,208,SAVE_TODAY
2026-03-30 08:00:27,B1,BATCH_COMPLETE,,,,
2026-03-30 18:00:01,B2,BATCH_START,,,,2026-03-30
2026-03-30 18:00:14,B2,PROPS_FETCHED,,,,"103 props, 8 games"
2026-03-30 18:00:27,B2,PREDICTIONS,,,,"101 plays, skipped 2"
2026-03-30 18:00:28,B2,BATCH_SUMMARY,,,,"props_fetched=101, plays_added=0"
2026-03-30 18:00:28,B2,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV9.2/data/today.json,208,208,SAVE_TODAY
2026-03-30 18:00:30,B2,BATCH_COMPLETE,,,,
2026-03-31 06:04:11,B0,BATCH_START,,,,
2026-03-31 06:04:24,B0,BOXSCORES_FETCHED,,,,163 rows for 2026-03-30
2026-03-31 06:04:31,B0,BATCH_SUMMARY,,,,"plays_graded=90, wins=48, losses=42, dnp=11"
2026-03-31 06:04:50,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24137,,
2026-03-31 06:06:20,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV9.2/source-files/nba_gamelogs_2025_26.csv,24137,24311,APPEND_GAMELOGS
2026-03-31 06:06:20,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-03-31 07:13:24,B0,BATCH_COMPLETE,,,,
2026-03-31 08:07:37,B1,BATCH_START,,,,2026-03-31
2026-03-31 08:07:43,B1,PROPS_FETCHED,,,,"84 props, 7 games"
2026-03-31 08:08:51,B1,PREDICTIONS,,,,"83 plays, skipped 1"
2026-03-31 08:08:52,B1,BATCH_SUMMARY,,,,"props_fetched=83, plays_added=83"
2026-03-31 08:08:52,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV9.2/data/today.json,208,291,SAVE_TODAY
2026-03-31 08:09:21,B1,BATCH_COMPLETE,,,,
2026-04-01 06:00:06,B0,BATCH_START,,,,
2026-04-01 06:00:17,B0,BOXSCORES_FETCHED,,,,118 rows for 2026-03-31
2026-04-01 06:00:18,B0,BATCH_SUMMARY,,,,"plays_graded=57, wins=31, losses=26, dnp=26"
2026-04-01 06:00:21,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,24311,,
2026-04-01 06:00:40,B0,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV9.2/source-files/nba_gamelogs_2025_26.csv,24311,24455,APPEND_GAMELOGS
2026-04-01 06:00:40,B0,ROLLING_UPDATE_FAILED,,,,name 'load_combined' is not defined
2026-04-01 06:02:56,B0,BATCH_COMPLETE,,,,
2026-04-01 08:00:01,B1,BATCH_START,,,,2026-04-01
2026-04-01 08:00:24,B1,PROPS_FETCHED,,,,"94 props, 9 games"
2026-04-01 08:00:39,B1,PREDICTIONS,,,,"93 plays, skipped 1"
2026-04-01 08:00:40,B1,BATCH_SUMMARY,,,,"props_fetched=93, plays_added=93"
2026-04-01 08:00:40,B1,INTEGRITY_OK,/Users/salman/Documents/GitHub/PropEdgeV9.2/data/today.json,291,384,SAVE_TODAY
